"","GEO.id","GEO.id2","GEO.display.label","YEAR","HC01_VC03","HC01_VC04","HC01_VC06","HC01_VC07","HC01_VC08","HC01_VC09","HC01_VC10","HC01_VC11","HC01_VC12","HC01_VC75","HC01_VC85","HC01_VC86","HC01_VC87","HC01_VC88","HC01_VC89","HC01_VC90","HC01_VC91"
"1","1400000US11001000100",11001000100,"Census Tract 1, District of Columbia, District of Columbia","2011",2410,1122,466,1029,390,60,60,33,16,847,0,0,107,129,35,1305,2084
"2","1400000US11001000201",11001000201,"Census Tract 2.01, District of Columbia, District of Columbia","2011",0,0,0,0,0,0,0,0,0,4165,0,0,0,10,0,9,51
"3","1400000US11001000202",11001000202,"Census Tract 2.02, District of Columbia, District of Columbia","2011",1777,665,245,618,207,9,0,38,38,2001,3,21,4,126,33,1077,1458
"4","1400000US11001000300",11001000300,"Census Tract 3, District of Columbia, District of Columbia","2011",2487,987,447,829,313,66,53,92,81,1116,71,110,71,319,55,1340,1992
"5","1400000US11001000400",11001000400,"Census Tract 4, District of Columbia, District of Columbia","2011",597,335,80,317,70,8,0,10,10,288,0,31,27,94,31,405,582
"6","1400000US11001000501",11001000501,"Census Tract 5.01, District of Columbia, District of Columbia","2011",2008,383,93,368,93,0,0,15,0,881,13,6,23,166,0,1027,1069
"7","1400000US11001000502",11001000502,"Census Tract 5.02, District of Columbia, District of Columbia","2011",1730,623,282,600,259,0,0,23,23,588,1,24,157,189,30,850,1381
"8","1400000US11001000600",11001000600,"Census Tract 6, District of Columbia, District of Columbia","2011",2041,896,372,813,303,0,0,83,69,736,92,104,332,200,57,842,2063
"9","1400000US11001000701",11001000701,"Census Tract 7.01, District of Columbia, District of Columbia","2011",3000,726,198,642,162,13,0,71,36,732,71,125,140,347,55,1310,1822
"10","1400000US11001000702",11001000702,"Census Tract 7.02, District of Columbia, District of Columbia","2011",2394,477,36,445,29,15,0,17,7,621,22,8,97,284,95,1160,1154
"11","1400000US11001000801",11001000801,"Census Tract 8.01, District of Columbia, District of Columbia","2011",3383,1610,597,1348,435,90,90,172,72,1668,111,88,250,338,93,1503,2589
"12","1400000US11001000802",11001000802,"Census Tract 8.02, District of Columbia, District of Columbia","2011",1352,546,249,472,200,10,10,64,39,802,0,9,33,122,52,635,1056
"13","1400000US11001000901",11001000901,"Census Tract 9.01, District of Columbia, District of Columbia","2011",1446,1059,385,1001,361,13,0,45,24,4660,0,0,81,174,56,849,1611
"14","1400000US11001000902",11001000902,"Census Tract 9.02, District of Columbia, District of Columbia","2011",810,546,290,502,277,0,0,44,13,631,2,0,67,123,52,607,636
"15","1400000US11001001001",11001001001,"Census Tract 10.01, District of Columbia, District of Columbia","2011",2822,1894,832,1582,723,45,32,267,77,2564,51,17,156,466,50,1383,2942
"16","1400000US11001001002",11001001002,"Census Tract 10.02, District of Columbia, District of Columbia","2011",1792,477,83,347,83,84,0,46,0,871,123,54,158,205,17,480,1181
"17","1400000US11001001100",11001001100,"Census Tract 11, District of Columbia, District of Columbia","2011",1804,1066,389,885,322,0,0,181,67,970,86,33,210,208,59,833,1864
"18","1400000US11001001200",11001001200,"Census Tract 12, District of Columbia, District of Columbia","2011",2468,1113,352,1017,282,32,16,64,54,817,54,33,231,198,41,1333,2062
"19","1400000US11001001301",11001001301,"Census Tract 13.01, District of Columbia, District of Columbia","2011",2068,806,356,777,356,12,0,17,0,985,29,46,91,132,21,760,2046
"20","1400000US11001001302",11001001302,"Census Tract 13.02, District of Columbia, District of Columbia","2011",4864,962,206,836,183,109,23,17,0,1091,8,0,132,394,133,1823,3483
"21","1400000US11001001401",11001001401,"Census Tract 14.01, District of Columbia, District of Columbia","2011",1433,769,432,690,383,28,19,51,30,1036,25,0,160,130,40,653,1254
"22","1400000US11001001402",11001001402,"Census Tract 14.02, District of Columbia, District of Columbia","2011",1378,713,293,581,243,61,12,71,38,484,23,224,152,164,54,632,996
"23","1400000US11001001500",11001001500,"Census Tract 15, District of Columbia, District of Columbia","2011",2147,1615,719,1470,662,47,28,98,29,1548,72,38,95,346,151,1141,2376
"24","1400000US11001001600",11001001600,"Census Tract 16, District of Columbia, District of Columbia","2011",1696,1141,339,826,252,89,58,226,29,964,78,70,232,374,126,755,1660
"25","1400000US11001001702",11001001702,"Census Tract 17.02, District of Columbia, District of Columbia","2011",1098,519,159,308,113,0,0,211,46,448,49,74,442,435,57,452,696
"26","1400000US11001001803",11001001803,"Census Tract 18.03, District of Columbia, District of Columbia","2011",1602,678,283,417,212,89,21,172,50,782,277,262,512,343,151,353,395
"27","1400000US11001001804",11001001804,"Census Tract 18.04, District of Columbia, District of Columbia","2011",1945,926,398,421,174,118,39,387,185,1368,606,290,741,660,169,481,342
"28","1400000US11001001901",11001001901,"Census Tract 19.01, District of Columbia, District of Columbia","2011",1537,977,260,472,155,66,0,439,105,1210,212,132,523,766,54,540,493
"29","1400000US11001001902",11001001902,"Census Tract 19.02, District of Columbia, District of Columbia","2011",833,560,165,325,65,32,11,203,89,574,53,82,332,374,89,356,237
"30","1400000US11001002001",11001002001,"Census Tract 20.01, District of Columbia, District of Columbia","2011",1003,586,171,320,132,89,21,177,18,645,190,128,446,359,86,311,378
"31","1400000US11001002002",11001002002,"Census Tract 20.02, District of Columbia, District of Columbia","2011",1424,724,248,377,146,64,20,283,82,661,215,237,532,378,189,595,548
"32","1400000US11001002101",11001002101,"Census Tract 21.01, District of Columbia, District of Columbia","2011",1890,1046,411,558,192,62,0,426,219,1383,578,422,1305,484,197,429,196
"33","1400000US11001002102",11001002102,"Census Tract 21.02, District of Columbia, District of Columbia","2011",1996,983,475,399,185,87,0,497,290,1392,367,269,799,732,133,666,398
"34","1400000US11001002201",11001002201,"Census Tract 22.01, District of Columbia, District of Columbia","2011",1130,884,300,486,247,17,10,381,43,1147,299,334,586,485,49,383,312
"35","1400000US11001002202",11001002202,"Census Tract 22.02, District of Columbia, District of Columbia","2011",1278,624,331,182,116,65,50,377,165,783,147,111,667,450,31,441,277
"36","1400000US11001002301",11001002301,"Census Tract 23.01, District of Columbia, District of Columbia","2011",1074,670,295,285,106,89,52,296,137,764,127,263,658,216,102,394,393
"37","1400000US11001002302",11001002302,"Census Tract 23.02, District of Columbia, District of Columbia","2011",732,121,45,58,12,11,11,52,22,414,60,128,242,221,38,181,292
"38","1400000US11001002400",11001002400,"Census Tract 24, District of Columbia, District of Columbia","2011",1283,730,284,417,161,45,10,268,113,817,233,190,722,395,132,557,469
"39","1400000US11001002501",11001002501,"Census Tract 25.01, District of Columbia, District of Columbia","2011",968,414,222,239,160,51,17,124,45,433,84,238,355,191,125,320,306
"40","1400000US11001002502",11001002502,"Census Tract 25.02, District of Columbia, District of Columbia","2011",2041,887,403,414,199,101,42,372,162,996,511,440,997,472,56,557,466
"41","1400000US11001002600",11001002600,"Census Tract 26, District of Columbia, District of Columbia","2011",992,617,245,498,183,47,17,72,45,579,3,27,149,302,114,527,699
"42","1400000US11001002701",11001002701,"Census Tract 27.01, District of Columbia, District of Columbia","2011",2656,771,310,461,97,171,84,139,129,920,221,210,459,446,44,1103,1547
"43","1400000US11001002702",11001002702,"Census Tract 27.02, District of Columbia, District of Columbia","2011",2120,879,387,737,295,48,13,94,79,972,329,316,259,522,66,893,1586
"44","1400000US11001002801",11001002801,"Census Tract 28.01, District of Columbia, District of Columbia","2011",1718,697,329,188,87,145,86,364,156,805,370,299,457,412,94,517,417
"45","1400000US11001002802",11001002802,"Census Tract 28.02, District of Columbia, District of Columbia","2011",1976,612,211,227,74,163,26,222,111,799,649,536,445,441,20,541,583
