"","GEO.id","GEO.id2","GEO.display.label","YEAR","HC01_VC05","HC01_VC64","HC01_VC117","HC01_VC118","HC01_VC119","HC01_VC120","HC01_VC121","HC01_VC122","HC01_VC123","HC01_VC124","HC01_VC192","HC01_VC193","HC01_VC194","HC01_VC195","HC01_VC196","HC01_VC197"
"1","1400000US11001000100",11001000100,"Census Tract 1, District of Columbia, District of Columbia","2011",435,1209,0,0,9,0,76,114,270,732,136,187,161,127,118,296
"2","1400000US11001000201",11001000201,"Census Tract 2.01, District of Columbia, District of Columbia","2011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","1400000US11001000202",11001000202,"Census Tract 2.02, District of Columbia, District of Columbia","2011",245,690,0,0,7,0,0,81,369,630,37,97,85,29,49,335
"4","1400000US11001000300",11001000300,"Census Tract 3, District of Columbia, District of Columbia","2011",394,1121,34,13,46,0,39,127,875,232,79,67,137,147,119,517
"5","1400000US11001000400",11001000400,"Census Tract 4, District of Columbia, District of Columbia","2011",92,219,0,0,0,0,0,44,124,210,27,33,10,25,54,54
"6","1400000US11001000501",11001000501,"Census Tract 5.01, District of Columbia, District of Columbia","2011",86,1710,0,0,0,0,32,44,159,63,139,387,198,258,165,439
"7","1400000US11001000502",11001000502,"Census Tract 5.02, District of Columbia, District of Columbia","2011",80,883,9,0,0,0,12,126,302,398,172,176,137,66,86,233
"8","1400000US11001000600",11001000600,"Census Tract 6, District of Columbia, District of Columbia","2011",151,654,0,0,0,0,130,228,322,707,42,43,114,51,95,262
"9","1400000US11001000701",11001000701,"Census Tract 7.01, District of Columbia, District of Columbia","2011",295,1285,0,0,0,141,349,513,464,248,131,182,137,109,125,578
"10","1400000US11001000702",11001000702,"Census Tract 7.02, District of Columbia, District of Columbia","2011",112,1664,12,23,0,13,235,430,17,0,163,246,385,181,139,479
"11","1400000US11001000801",11001000801,"Census Tract 8.01, District of Columbia, District of Columbia","2011",209,1382,0,0,3,35,176,323,813,651,160,166,53,134,97,577
"12","1400000US11001000802",11001000802,"Census Tract 8.02, District of Columbia, District of Columbia","2011",111,531,20,0,11,12,59,49,526,144,33,50,75,31,0,255
"13","1400000US11001000901",11001000901,"Census Tract 9.01, District of Columbia, District of Columbia","2011",167,239,0,18,0,0,11,0,280,898,45,52,17,0,29,69
"14","1400000US11001000902",11001000902,"Census Tract 9.02, District of Columbia, District of Columbia","2011",80,114,0,23,13,0,6,44,317,293,19,0,25,0,11,59
"15","1400000US11001001001",11001001001,"Census Tract 10.01, District of Columbia, District of Columbia","2011",0,574,0,41,18,0,19,111,1698,361,88,56,78,57,0,225
"16","1400000US11001001002",11001001002,"Census Tract 10.02, District of Columbia, District of Columbia","2011",552,1062,0,0,0,0,46,411,273,0,130,164,101,40,37,507
"17","1400000US11001001100",11001001100,"Census Tract 11, District of Columbia, District of Columbia","2011",221,422,0,5,11,0,103,201,624,438,39,61,13,32,45,232
"18","1400000US11001001200",11001001200,"Census Tract 12, District of Columbia, District of Columbia","2011",50,1148,0,0,0,0,34,293,784,209,247,114,121,138,54,463
"19","1400000US11001001301",11001001301,"Census Tract 13.01, District of Columbia, District of Columbia","2011",68,1537,0,0,25,0,0,50,79,377,136,110,204,200,143,670
"20","1400000US11001001302",11001001302,"Census Tract 13.02, District of Columbia, District of Columbia","2011",695,3353,0,0,30,15,325,661,360,120,469,547,433,440,184,1244
"21","1400000US11001001401",11001001401,"Census Tract 14.01, District of Columbia, District of Columbia","2011",43,654,0,0,0,0,0,8,499,272,25,116,111,91,9,266
"22","1400000US11001001402",11001001402,"Census Tract 14.02, District of Columbia, District of Columbia","2011",71,531,0,9,32,0,34,30,659,83,78,57,41,109,57,144
"23","1400000US11001001500",11001001500,"Census Tract 15, District of Columbia, District of Columbia","2011",14,111,0,0,28,16,45,111,1374,462,0,25,0,14,0,72
"24","1400000US11001001600",11001001600,"Census Tract 16, District of Columbia, District of Columbia","2011",80,210,0,28,0,0,11,108,1237,102,0,6,41,19,0,126
"25","1400000US11001001702",11001001702,"Census Tract 17.02, District of Columbia, District of Columbia","2011",134,465,0,0,15,0,85,306,196,31,57,93,132,31,31,98
"26","1400000US11001001803",11001001803,"Census Tract 18.03, District of Columbia, District of Columbia","2011",133,1286,0,0,16,40,33,63,155,9,118,92,139,199,145,552
"27","1400000US11001001804",11001001804,"Census Tract 18.04, District of Columbia, District of Columbia","2011",161,1446,0,0,19,0,40,224,204,12,221,118,163,74,130,703
"28","1400000US11001001901",11001001901,"Census Tract 19.01, District of Columbia, District of Columbia","2011",123,256,10,0,59,34,73,943,162,0,24,0,23,50,35,64
"29","1400000US11001001902",11001001902,"Census Tract 19.02, District of Columbia, District of Columbia","2011",43,166,20,8,32,0,42,460,100,5,24,11,0,0,13,105
"30","1400000US11001002001",11001002001,"Census Tract 20.01, District of Columbia, District of Columbia","2011",65,613,19,0,0,0,9,70,245,47,13,22,63,126,82,291
"31","1400000US11001002002",11001002002,"Census Tract 20.02, District of Columbia, District of Columbia","2011",42,469,15,0,0,44,64,247,557,28,42,17,75,61,0,258
"32","1400000US11001002101",11001002101,"Census Tract 21.01, District of Columbia, District of Columbia","2011",306,943,65,18,0,20,218,518,108,0,104,93,53,64,47,526
"33","1400000US11001002102",11001002102,"Census Tract 21.02, District of Columbia, District of Columbia","2011",279,1013,8,8,0,7,77,769,97,17,174,143,76,44,82,445
"34","1400000US11001002201",11001002201,"Census Tract 22.01, District of Columbia, District of Columbia","2011",90,228,0,0,26,14,173,539,150,0,0,30,8,8,27,106
"35","1400000US11001002202",11001002202,"Census Tract 22.02, District of Columbia, District of Columbia","2011",198,689,0,0,35,39,104,332,79,0,35,184,56,78,92,157
"36","1400000US11001002301",11001002301,"Census Tract 23.01, District of Columbia, District of Columbia","2011",95,336,45,0,0,31,54,459,149,0,21,28,70,0,58,84
"37","1400000US11001002302",11001002302,"Census Tract 23.02, District of Columbia, District of Columbia","2011",170,584,0,0,0,7,44,97,0,0,19,31,74,30,19,372
"38","1400000US11001002400",11001002400,"Census Tract 24, District of Columbia, District of Columbia","2011",84,430,0,12,0,44,25,548,220,4,5,21,33,45,11,216
"39","1400000US11001002501",11001002501,"Census Tract 25.01, District of Columbia, District of Columbia","2011",86,464,0,0,0,0,0,153,327,24,30,55,29,6,53,227
"40","1400000US11001002502",11001002502,"Census Tract 25.02, District of Columbia, District of Columbia","2011",315,1444,0,0,11,7,53,310,206,10,86,151,205,255,116,543
"41","1400000US11001002600",11001002600,"Census Tract 26, District of Columbia, District of Columbia","2011",37,246,0,18,0,1,13,26,460,228,38,41,34,48,11,74
"42","1400000US11001002701",11001002701,"Census Tract 27.01, District of Columbia, District of Columbia","2011",228,2014,0,0,0,25,101,143,335,38,174,232,245,354,172,728
"43","1400000US11001002702",11001002702,"Census Tract 27.02, District of Columbia, District of Columbia","2011",335,1246,0,0,0,0,62,112,659,41,192,210,174,194,83,274
"44","1400000US11001002801",11001002801,"Census Tract 28.01, District of Columbia, District of Columbia","2011",91,1391,0,0,0,0,65,159,96,7,173,118,114,303,122,555
"45","1400000US11001002802",11001002802,"Census Tract 28.02, District of Columbia, District of Columbia","2011",175,1681,0,9,0,18,85,105,78,0,274,154,183,159,204,652
"46","1400000US11001002900",11001002900,"Census Tract 29, District of Columbia, District of Columbia","2011",314,876,6,9,0,0,26,220,309,27,142,108,156,122,119,229
"47","1400000US11001003000",11001003000,"Census Tract 30, District of Columbia, District of Columbia","2011",155,971,0,0,0,6,23,106,209,41,124,83,183,96,92,347
"48","1400000US11001003100",11001003100,"Census Tract 31, District of Columbia, District of Columbia","2011",174,376,0,61,9,0,58,278,132,11,42,18,62,61,45,141
"49","1400000US11001003200",11001003200,"Census Tract 32, District of Columbia, District of Columbia","2011",184,735,28,5,31,37,180,586,75,23,106,81,21,81,17,415
"50","1400000US11001003301",11001003301,"Census Tract 33.01, District of Columbia, District of Columbia","2011",249,254,0,11,4,0,78,322,556,16,0,11,38,15,7,146
"51","1400000US11001003302",11001003302,"Census Tract 33.02, District of Columbia, District of Columbia","2011",54,390,5,0,0,7,18,233,295,7,41,77,37,77,54,104
"52","1400000US11001003400",11001003400,"Census Tract 34, District of Columbia, District of Columbia","2011",168,508,9,23,31,0,181,198,219,6,33,71,25,41,23,274
"53","1400000US11001003500",11001003500,"Census Tract 35, District of Columbia, District of Columbia","2011",195,606,0,0,4,0,38,165,134,0,56,69,129,58,14,235
"54","1400000US11001003600",11001003600,"Census Tract 36, District of Columbia, District of Columbia","2011",318,1308,0,0,0,0,36,187,316,16,141,262,140,224,78,463
"55","1400000US11001003700",11001003700,"Census Tract 37, District of Columbia, District of Columbia","2011",326,1736,0,0,0,15,100,259,130,0,168,390,130,222,169,587
"56","1400000US11001003800",11001003800,"Census Tract 38, District of Columbia, District of Columbia","2011",191,1960,0,0,0,0,57,159,429,34,406,412,372,144,63,443
"57","1400000US11001003900",11001003900,"Census Tract 39, District of Columbia, District of Columbia","2011",217,1959,21,0,81,50,51,346,237,11,402,335,322,180,184,456
"58","1400000US11001004001",11001004001,"Census Tract 40.01, District of Columbia, District of Columbia","2011",283,887,0,0,0,8,115,462,368,217,38,130,309,88,90,232
"59","1400000US11001004002",11001004002,"Census Tract 40.02, District of Columbia, District of Columbia","2011",244,966,0,0,9,0,29,187,311,78,111,102,243,208,55,199
"60","1400000US11001004100",11001004100,"Census Tract 41, District of Columbia, District of Columbia","2011",246,793,0,23,0,0,31,117,202,341,67,113,47,25,70,296
"61","1400000US11001004201",11001004201,"Census Tract 42.01, District of Columbia, District of Columbia","2011",64,1399,0,0,0,36,31,372,190,105,254,191,79,308,109,367
"62","1400000US11001004202",11001004202,"Census Tract 42.02, District of Columbia, District of Columbia","2011",221,991,0,7,13,0,30,266,218,132,124,96,180,125,91,328
"63","1400000US11001004300",11001004300,"Census Tract 43, District of Columbia, District of Columbia","2011",251,1366,0,0,0,0,103,48,151,88,236,126,217,206,101,451
"64","1400000US11001004400",11001004400,"Census Tract 44, District of Columbia, District of Columbia","2011",119,1208,0,0,0,17,42,401,662,95,138,105,151,298,158,326
"65","1400000US11001004600",11001004600,"Census Tract 46, District of Columbia, District of Columbia","2011",260,556,29,11,0,0,18,279,216,0,69,74,79,70,67,181
"66","1400000US11001004701",11001004701,"Census Tract 47.01, District of Columbia, District of Columbia","2011",366,1271,0,0,0,10,10,249,75,0,119,108,75,249,150,447
"67","1400000US11001004702",11001004702,"Census Tract 47.02, District of Columbia, District of Columbia","2011",85,575,0,0,0,0,16,177,114,12,102,113,30,49,16,265
"68","1400000US11001004801",11001004801,"Census Tract 48.01, District of Columbia, District of Columbia","2011",172,419,9,0,0,0,19,158,334,8,40,76,57,51,46,149
"69","1400000US11001004802",11001004802,"Census Tract 48.02, District of Columbia, District of Columbia","2011",75,1093,0,0,24,0,30,102,81,19,300,113,209,191,38,200
