ID,Year,Period,Label,Value,1MonthNet,1MonthPCT
LAUST110000000000003,2011,M01,2011 Jan,9.9,0.6,6.5
LAUST110000000000003,2011,M02,2011 Feb,10,0.1,1
LAUST110000000000003,2011,M03,2011 Mar,10,0,0
LAUST110000000000003,2011,M04,2011 Apr,9.6,-0.4,-4
LAUST110000000000003,2011,M05,2011 May,10.1,0.5,5.2
LAUST110000000000003,2011,M06,2011 Jun,10.9,0.8,7.9
LAUST110000000000003,2011,M07,2011 Jul,10.7,-0.2,-1.8
LAUST110000000000003,2011,M08,2011 Aug,10.5,-0.2,-1.9
LAUST110000000000003,2011,M09,2011 Sep,10.4,-0.1,-1
LAUST110000000000003,2011,M10,2011 Oct,10.1,-0.3,-2.9
LAUST110000000000003,2011,M11,2011 Nov,10,-0.1,-1
LAUST110000000000003,2011,M12,2011 Dec,9.7,-0.3,-3
LAUST110000000000003,2012,M01,2012 Jan,10.1,0.4,4.1
LAUST110000000000003,2012,M02,2012 Feb,9.8,-0.3,-3
LAUST110000000000003,2012,M03,2012 Mar,9.4,-0.4,-4.1
LAUST110000000000003,2012,M04,2012 Apr,8.6,-0.8,-8.5
LAUST110000000000003,2012,M05,2012 May,8.7,0.1,1.2
LAUST110000000000003,2012,M06,2012 Jun,9.2,0.5,5.7
LAUST110000000000003,2012,M07,2012 Jul,9,-0.2,-2.2
LAUST110000000000003,2012,M08,2012 Aug,8.9,-0.1,-1.1
LAUST110000000000003,2012,M09,2012 Sep,8.9,0,0
LAUST110000000000003,2012,M10,2012 Oct,8.7,-0.2,-2.2
LAUST110000000000003,2012,M11,2012 Nov,8.7,0,0
LAUST110000000000003,2012,M12,2012 Dec,8.6,-0.1,-1.1
LAUST110000000000003,2013,M01,2013 Jan,9.1,0.5,5.8
LAUST110000000000003,2013,M02,2013 Feb,8.9,-0.2,-2.2
LAUST110000000000003,2013,M03,2013 Mar,8.6,-0.3,-3.4
LAUST110000000000003,2013,M04,2013 Apr,8.1,-0.5,-5.8
LAUST110000000000003,2013,M05,2013 May,8.3,0.2,2.5
LAUST110000000000003,2013,M06,2013 Jun,8.9,0.6,7.2
LAUST110000000000003,2013,M07,2013 Jul,8.8,-0.1,-1.1
LAUST110000000000003,2013,M08,2013 Aug,8.6,-0.2,-2.3
LAUST110000000000003,2013,M09,2013 Sep,8.6,0,0
LAUST110000000000003,2013,M10,2013 Oct,8.6,0,0
LAUST110000000000003,2013,M11,2013 Nov,8,-0.6,-7
LAUST110000000000003,2013,M12,2013 Dec,7.6,-0.4,-5
LAUST110000000000003,2014,M01,2014 Jan,8.1,0.5,6.6
LAUST110000000000003,2014,M02,2014 Feb,8.1,0,0
LAUST110000000000003,2014,M03,2014 Mar,7.8,-0.3,-3.7
LAUST110000000000003,2014,M04,2014 Apr,7.2,-0.6,-7.7
LAUST110000000000003,2014,M05,2014 May,7.3,0.1,1.4
LAUST110000000000003,2014,M06,2014 Jun,7.9,0.6,8.2
LAUST110000000000003,2014,M07,2014 Jul,8.1,0.2,2.5
LAUST110000000000003,2014,M08,2014 Aug,8.1,0,0
LAUST110000000000003,2014,M09,2014 Sep,7.9,-0.2,-2.5
LAUST110000000000003,2014,M10,2014 Oct,7.7,-0.2,-2.5
LAUST110000000000003,2014,M11,2014 Nov,7.6,-0.1,-1.3
LAUST110000000000003,2014,M12,2014 Dec,7.3,-0.3,-3.9
LAUST110000000000003,2015,M01,2015 Jan,7.8,0.5,6.8
LAUST110000000000003,2015,M02,2015 Feb,7.6,-0.2,-2.6
LAUST110000000000003,2015,M03,2015 Mar,7.1,-0.5,-6.6
LAUST110000000000003,2015,M04,2015 Apr,6.5,-0.6,-8.5
LAUST110000000000003,2015,M05,2015 May,6.6,0.1,1.5
LAUST110000000000003,2015,M06,2015 Jun,7.1,0.5,7.6
LAUST110000000000003,2015,M07,2015 Jul,7.1,0,0
LAUST110000000000003,2015,M08,2015 Aug,6.9,-0.2,-2.8
LAUST110000000000003,2015,M09,2015 Sep,6.8,-0.1,-1.4
LAUST110000000000003,2015,M10,2015 Oct,6.7,-0.1,-1.5
LAUST110000000000003,2015,M11,2015 Nov,6.6,-0.1,-1.5
LAUST110000000000003,2015,M12,2015 Dec,6.3,-0.3,-4.5
