ID,Date,Act.High,Act.Low,Act.Avg,Norm.High,Norm.Low,Norm.Avg,Norm.Dept,Precip.Amt,Snow.Amt,Snow.Ground,Heat.Deg.Day,Cool.Deg.Day,ZSCORE.Avg.Temp,Absolute.Dev.Avg.Temp,ZSCORE.Precip.Amt,DAY,MONTH,NMAXTEMPC,NMINTEMPC,NORMAVGTEMPC,NMAXTEMPF,NMINTEMPF,NAVGTEMPF,NPRECIP,NSNOW,RECORDMAXTEMP,RECORDMAXYR,RECORDLOWMAX,RECORDLOMAXYR,RECORDMINTEMP,RMXYR,RECORDHIGHMIN,RHIMNYR,MAXPRECIP,MXPRCPYR,MAXSNOW,MXSNYR
1,2012-01-01,16,3,10,6,-1,2,8,0,0,0,8,0,1.242329643,-7,-0.449690003,1,1,7,-2,3,44,29,37,0.09,0.1,69,2005,17,1918,-14,1881,51,1876,1.52,2003,4.5,1899
2,2012-01-02,9,0,4,6,-2,2,2,0,0,0,14,0,-0.104774789,-2,-0.449690003,2,1,6,-2,2,43,29,36,0.08,0.2,71,1876,15,1918,-1,1899,52,1876,1.44,1979,4.5,1925
3,2012-01-03,1,-6,-2,6,-2,2,-4,0,0,0,20,0,-1.451879221,4,-0.449690003,3,1,6,-2,2,43,29,36,0.09,0.1,68,2004,10,1879,-3,1877,52,2000,1.87,1914,2.4,1988
4,2012-01-04,2,-8,-3,6,-2,2,-5,0,0,0,21,0,-1.676396626,5,-0.449690003,4,1,6,-2,2,43,29,36,0.08,0.1,73,1997,16,1879,-3,1877,60,1950,2.28,1886,2.1,1980
5,2012-01-05,10,-1,4,6,-2,2,2,0,0,0,14,0,-0.104774789,-2,-0.449690003,5,1,6,-2,2,43,29,36,0.09,0.1,71,1997,18,1896,-3,1877,56,1950,1.44,1949,4.8,1980
6,2012-01-06,17,1,9,6,-2,2,7,0,0,0,9,0,1.017812237,-7,-0.449690003,6,1,6,-2,2,43,29,36,0.09,0.1,73,2007,14,1884,2,1884,56,2007,1.35,1905,9,1892
7,2012-01-07,20,2,11,6,-2,2,9,0,0,0,7,0,1.466847048,-9,-0.449690003,7,1,6,-2,2,43,29,36,0.09,0.2,76,1907,18,1878,5,1884,55,1946,1.33,1908,13,1996
8,2012-01-08,11,3,7,6,-2,2,5,0,0,0,11,0,0.568777427,-5,-0.449690003,8,1,6,-2,2,43,29,36,0.09,0.1,73,2008,16,1942,0,1878,57,1998,2.21,1884,6.3,1988
9,2012-01-09,4,1,2,6,-2,2,0,0.41,15,0,16,0,-0.5538096,0,0.679123679,9,1,6,-2,2,43,29,36,0.09,0.2,76,1937,12,1970,4,1970,56,1937,1.87,1879,2.9,1926
10,2012-01-10,12,0,6,6,-2,2,4,0,0,0,12,0,0.344260021,-4,-0.449690003,10,1,6,-2,2,43,29,36,0.09,0.1,70,1950,15,1982,-3,1875,50,1950,0.81,1965,3.8,1965
