"Date","Act.High","Act.Low","Act.Avg","Norm.High","Norm.Low","Norm.Avg","Norm.Dept","Rec.High","Rec.Year","Rec.Low","Rec.Year","Precip.Amt","Snow.Amt","Snow.Ground","Heat.Deg.Day","Cool.Deg.Day"
"1",2012-01-01,16,3,10,6,-1,2,8,21,NA,-26,NA,0,0,0,8,0
"2",2012-01-02,9,0,4,6,-2,2,2,22,NA,-18,NA,0,0,0,14,0
"3",2012-01-03,1,-6,-2,6,-2,2,-4,20,NA,-21,NA,0,0,0,20,0
"4",2012-01-04,2,-8,-3,6,-2,2,-5,23,NA,-19,NA,0,0,0,21,0
"5",2012-01-05,10,-1,4,6,-2,2,2,22,NA,-19,NA,0,0,0,14,0
"6",2012-01-06,17,1,9,6,-2,2,7,23,NA,-17,NA,0,0,0,9,0
"7",2012-01-07,20,2,11,6,-2,2,9,24,NA,-15,NA,0,0,0,7,0
"8",2012-01-08,11,3,7,6,-2,2,5,23,NA,-18,NA,0,0,0,11,0
"9",2012-01-09,4,1,2,6,-2,2,0,24,NA,-16,NA,0.41,15,0,16,0
"10",2012-01-10,12,0,6,6,-2,2,4,21,NA,-19,NA,0,0,0,12,0
"11",2012-01-11,9,1,5,6,-2,2,3,24,NA,-17,NA,1.3,0,0,13,0
"12",2012-01-12,14,7,10,6,-2,2,8,24,NA,-16,NA,0.61,0,0,8,0
"13",2012-01-13,11,-2,4,6,-2,2,2,24,NA,-22,NA,0.13,0,0,14,0
"14",2012-01-14,4,-3,0,6,-2,2,-2,24,NA,-25,NA,0,0,0,18,0
"15",2012-01-15,2,-3,0,6,-2,2,-2,25,NA,-16,NA,0,0,0,18,0
"16",2012-01-16,6,-4,1,6,-2,2,-1,23,NA,-17,NA,0.08,0,0,17,0
"17",2012-01-17,16,4,10,6,-2,2,8,22,NA,-21,NA,0.66,0,0,8,0
"18",2012-01-18,14,-2,6,6,-2,2,4,21,NA,-21,NA,0,0,0,12,0
"19",2012-01-19,5,-4,0,6,-2,2,-2,22,NA,-20,NA,0,0,0,18,0
"20",2012-01-20,4,-2,1,6,-2,2,-1,21,NA,-19,NA,0.13,13,25,17,0
"21",2012-01-21,1,-2,0,6,-2,2,-2,21,NA,-20,NA,0.58,15,0,18,0
"22",2012-01-22,0,-1,0,6,-2,2,-2,24,NA,-17,NA,0,0,0,18,0
