"","Variables","VIF"
"1","X",Inf
"2","GEO.id",NA
"3","GEO.id2",Inf
"4","GEO.display.label",NA
"5","YEAR",Inf
"6","DP02_VALUE_VC03",Inf
"7","DP02_VALUE_VC04",Inf
"8","DP02_VALUE_VC06",Inf
"9","DP02_VALUE_VC07",Inf
"10","DP02_VALUE_VC08",Inf
"11","DP02_VALUE_VC09",Inf
"12","DP02_VALUE_VC10",Inf
"13","DP02_VALUE_VC11",Inf
"14","DP02_VALUE_VC12",Inf
"15","DP02_VALUE_VC13",Inf
"16","DP02_VALUE_VC14",652.829009037544
"17","DP02_VALUE_VC15",67.1540359167939
"18","DP02_VALUE_VC75",243.845652682037
"19","DP02_VALUE_VC85",Inf
"20","DP02_VALUE_VC86",Inf
"21","DP02_VALUE_VC87",Inf
"22","DP02_VALUE_VC88",Inf
"23","DP02_VALUE_VC89",Inf
"24","DP02_VALUE_VC90",Inf
"25","DP02_VALUE_VC91",Inf
"26","DP03_VALUE_VC04",Inf
"27","DP03_VALUE_VC05",Inf
"28","DP03_VALUE_VC06",Inf
"29","DP03_VALUE_VC07",Inf
"30","DP03_VALUE_VC08",Inf
"31","DP03_VALUE_VC09",Inf
"32","DP03_VALUE_VC10",Inf
"33","DP03_VALUE_VC75",Inf
"34","DP03_VALUE_VC76",Inf
"35","DP03_VALUE_VC77",Inf
"36","DP03_VALUE_VC78",Inf
"37","DP03_VALUE_VC79",Inf
"38","DP03_VALUE_VC80",Inf
"39","DP03_VALUE_VC81",Inf
"40","DP03_VALUE_VC82",Inf
"41","DP03_VALUE_VC83",Inf
"42","DP03_VALUE_VC84",Inf
"43","DP03_VALUE_VC85",124.100659020077
"44","DP03_VALUE_VC121",57.1842464466812
"45","DP03_PCT_VC13",100.277636330965
"46","DP03_PCT_VC166",49.4012154073975
"47","DP04_VALUE_VC05",20.7938817484972
"48","DP04_VALUE_VC64",Inf
"49","DP04_VALUE_VC117",Inf
"50","DP04_VALUE_VC118",Inf
"51","DP04_VALUE_VC119",Inf
"52","DP04_VALUE_VC120",Inf
"53","DP04_VALUE_VC121",Inf
"54","DP04_VALUE_VC122",Inf
"55","DP04_VALUE_VC123",Inf
"56","DP04_VALUE_VC124",Inf
"57","DP04_VALUE_VC125",84.1216461449166
"58","DP04_VALUE_VC192",65.8297891199907
"59","DP04_VALUE_VC193",67.5979766353091
"60","DP04_VALUE_VC194",58.9529240827182
"61","DP04_VALUE_VC195",56.3590530680761
"62","DP04_VALUE_VC196",35.1059826899028
"63","DP04_VALUE_VC197",257.037286350541
"64","DP05_VALUE_VC07",20.3202659977386
"65","DP05_VALUE_VC08",28.8583364868413
"66","DP05_VALUE_VC09",27.3656690879979
"67","DP05_VALUE_VC10",603.010310114946
"68","DP05_VALUE_VC11",750.494395590673
"69","DP05_VALUE_VC12",Inf
"70","DP05_VALUE_VC13",Inf
"71","DP05_VALUE_VC14",Inf
"72","DP05_VALUE_VC15",Inf
"73","DP05_VALUE_VC16",Inf
"74","DP05_VALUE_VC17",Inf
"75","DP05_VALUE_VC18",Inf
"76","DP05_VALUE_VC19",Inf
"77","DP05_VALUE_VC21",49.4950534376587
"78","CENSUS_TRACT",Inf
