STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
997314,99999, 20120101,   48.5,24, 9999.9, 0, 1017.0,24, 9999.9, 0, 999.9, 0,   4.9,24,  11.1, 999.9,   58.6*,  39.2*, 0.00I,999.9, 000000,
997314,99999, 20120102,   43.9,24, 9999.9, 0, 1011.6,24, 9999.9, 0, 999.9, 0,  11.4,24,  19.0, 999.9,   56.3*,  37.2*, 0.00I,999.9, 000000,
997314,99999, 20120103,   31.6,24, 9999.9, 0, 1016.1,24, 9999.9, 0, 999.9, 0,  11.8,24,  20.0, 999.9,   37.8*,  27.7*, 0.00I,999.9, 000000,
997314,99999, 20120104,   23.9,24, 9999.9, 0, 1024.2,24, 9999.9, 0, 999.9, 0,   7.9,24,  16.9, 999.9,   33.6*,  17.8*, 0.00I,999.9, 000000,
997314,99999, 20120105,   37.8,24, 9999.9, 0, 1015.7,24, 9999.9, 0, 999.9, 0,   3.7,24,   9.9, 999.9,   47.3*,  32.9*, 0.00I,999.9, 000000,
997314,99999, 20120106,   43.1,24, 9999.9, 0, 1013.4,24, 9999.9, 0, 999.9, 0,   4.4,24,   9.9, 999.9,   57.7*,  35.6*, 0.00I,999.9, 000000,
997314,99999, 20120107,   48.9,24, 9999.9, 0, 1010.2,24, 9999.9, 0, 999.9, 0,   3.5,23,   9.9, 999.9,   64.8*,  37.0*, 0.00I,999.9, 000000,
997314,99999, 20120108,   48.5,24, 9999.9, 0, 1021.0,24, 9999.9, 0, 999.9, 0,   6.1,23,  12.0, 999.9,   58.6*,  41.7*, 0.00I,999.9, 000000,
997314,99999, 20120109,   38.2,24, 9999.9, 0, 1025.7,24, 9999.9, 0, 999.9, 0,   3.2,24,   6.0, 999.9,   46.4*,  33.1*, 0.00I,999.9, 000000,
997314,99999, 20120110,   38.6,24, 9999.9, 0, 1017.2,24, 9999.9, 0, 999.9, 0,   4.3,24,   8.0, 999.9,   52.7*,  32.0*, 0.00I,999.9, 000000,
997314,99999, 20120111,   39.7,24, 9999.9, 0, 1015.4,24, 9999.9, 0, 999.9, 0,   1.8,23,   5.1, 999.9,   46.2*,  33.6*, 0.00I,999.9, 000000,
